               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099438,           0.0059334,                   0,            0.094759,             0.15103,            0.034703,             0.01254,            0.040921,           0.0052078,                   0,           0.0028041,           0.0028041,            0.072175
                   1,            0.075708,           0.0058459,                   0,             0.13686,             0.14956,            0.037142,            0.012579,            0.044116,           0.0041287,                   0,           0.0056117,           0.0056117,            0.022834
                   2,            0.075304,           0.0051664,                   0,             0.14557,             0.20088,            0.075479,            0.036073,            0.035929,           0.0042244,                   0,           0.0065359,           0.0065359,           0.0065359
                   3,            0.070174,           0.0047397,                   0,             0.35382,             0.22727,             0.18459,            0.066572,            0.033916,           0.0039404,                   0,           0.0065359,           0.0065359,           0.0065359
                   4,            0.065064,           0.0044173,                   0,             0.19726,             0.20674,            0.087041,            0.034284,            0.040643,            0.003992,                   0,           0.0065308,           0.0065308,           0.0065308
                   5,            0.064197,            0.004088,                   0,             0.56321,             0.29179,             0.33202,             0.15919,            0.031832,            0.003415,                   0,           0.0065237,           0.0065237,           0.0065237
                   6,            0.060821,           0.0039397,                   0,              0.2389,             0.16862,              0.1135,            0.048436,            0.041784,           0.0040876,                   0,           0.0065146,           0.0065146,           0.0065146
                   7,            0.059409,           0.0038843,                   0,             0.52328,             0.40323,             0.37657,             0.18677,            0.028712,           0.0032393,                   0,           0.0065034,           0.0065034,           0.0065034
                   8,            0.058982,           0.0038062,                   0,             0.49211,             0.28592,             0.28703,             0.12334,            0.034146,            0.003781,                   0,           0.0064902,           0.0064902,           0.0064902
                   9,            0.057706,           0.0037135,                   0,             0.53462,             0.43548,             0.41894,             0.20724,            0.026875,           0.0030242,                   0,            0.006475,            0.006475,            0.006475
                  10,             0.05696,           0.0037112,                   0,             0.45071,             0.31965,             0.26867,             0.11621,            0.034415,           0.0035325,                   0,           0.0064578,           0.0064578,           0.0064578
                  11,            0.054985,           0.0037111,                   0,             0.60388,             0.42375,             0.45226,             0.21629,             0.02696,           0.0031064,                   0,           0.0064386,           0.0064386,           0.0064386
                  12,            0.054235,           0.0035724,                   0,             0.64621,             0.39736,             0.47344,             0.24005,            0.027397,           0.0030982,                   0,           0.0064175,           0.0064175,           0.0064175
                  13,            0.056268,            0.003674,                   0,             0.44586,             0.35484,             0.32349,             0.15178,            0.029701,           0.0034884,                   0,           0.0063944,           0.0063944,           0.0063944
                  14,            0.055791,           0.0037277,                   0,              0.7213,             0.47947,             0.54596,             0.27259,            0.025903,           0.0030968,                   0,           0.0063694,           0.0063694,           0.0063694
                  15,            0.053307,           0.0036458,                   0,             0.66404,             0.49558,             0.55093,               0.281,            0.025219,           0.0028616,                   0,           0.0063424,           0.0063424,           0.0063424
                  16,            0.052274,            0.003538,                   0,              0.6486,             0.55279,             0.54972,               0.286,            0.025019,           0.0028292,                   0,           0.0063136,           0.0063136,           0.0063136
                  17,            0.052526,           0.0036145,                   0,             0.75414,             0.53073,             0.59694,             0.30451,            0.024479,           0.0028065,                   0,           0.0062828,           0.0062828,           0.0062828
                  18,            0.051412,           0.0034188,                   0,             0.60837,             0.54692,             0.53919,              0.2596,            0.024099,           0.0028875,                   0,           0.0062502,           0.0062502,           0.0062502
                  19,            0.051751,           0.0034621,                   0,             0.64828,             0.56305,             0.57894,             0.28729,            0.024367,            0.002758,                   0,           0.0062158,           0.0062158,           0.0062158
                  20,            0.051275,           0.0033604,                   0,             0.70941,             0.53226,             0.59018,             0.30537,            0.023558,            0.002824,                   0,           0.0061795,           0.0061795,           0.0061795
                  21,              0.0505,           0.0034069,                   0,             0.62195,             0.53069,              0.5467,             0.27945,            0.024402,           0.0027754,                   0,           0.0061415,           0.0061415,           0.0061415
                  22,            0.050581,           0.0034138,                   0,             0.74308,             0.55131,             0.61606,             0.32059,            0.023861,           0.0026248,                   0,           0.0061017,           0.0061017,           0.0061017
                  23,             0.04891,           0.0033487,                   0,             0.70981,             0.59384,             0.63283,             0.33567,            0.023034,           0.0026135,                   0,           0.0060601,           0.0060601,           0.0060601
                  24,            0.049939,           0.0032922,                   0,             0.70626,             0.55702,             0.61965,              0.3305,            0.023646,           0.0025998,                   0,           0.0060169,           0.0060169,           0.0060169
                  25,            0.048751,           0.0034057,                   0,             0.68445,             0.57885,             0.62121,             0.32747,            0.022837,            0.002661,                   0,           0.0059719,           0.0059719,           0.0059719
                  26,            0.047975,            0.003282,                   0,             0.78837,             0.54106,             0.64223,             0.35181,            0.022493,           0.0025641,                   0,           0.0059253,           0.0059253,           0.0059253
                  27,            0.047914,           0.0032859,                   0,             0.71395,             0.59824,             0.64608,             0.34773,            0.022634,           0.0024885,                   0,           0.0058771,           0.0058771,           0.0058771
                  28,            0.047184,           0.0031834,                   0,             0.72584,             0.59531,             0.65839,             0.35092,            0.021997,           0.0024838,                   0,           0.0058273,           0.0058273,           0.0058273
                  29,            0.047445,           0.0031658,                   0,             0.69564,             0.63004,             0.67163,             0.36105,             0.02212,           0.0023983,                   0,            0.005776,            0.005776,            0.005776
                  30,             0.04813,           0.0031027,                   0,             0.70052,             0.64956,             0.67572,             0.36629,            0.021899,           0.0023703,                   0,           0.0057231,           0.0057231,           0.0057231
                  31,            0.047237,            0.003191,                   0,             0.73848,             0.62757,             0.67574,             0.36444,             0.02214,           0.0023747,                   0,           0.0056688,           0.0056688,           0.0056688
                  32,            0.046531,           0.0031593,                   0,             0.73913,             0.61584,             0.67382,              0.3663,            0.021884,           0.0024146,                   0,            0.005613,            0.005613,            0.005613
                  33,            0.047989,           0.0032915,                   0,             0.76209,             0.59824,             0.68256,             0.37381,            0.021528,           0.0023756,                   0,           0.0055558,           0.0055558,           0.0055558
                  34,            0.045962,           0.0031999,                   0,             0.77761,             0.59824,              0.6882,             0.37004,            0.021856,           0.0023595,                   0,           0.0054973,           0.0054973,           0.0054973
                  35,            0.045128,           0.0031415,                   0,             0.78485,             0.58504,             0.68585,             0.37881,            0.021536,            0.002382,                   0,           0.0054374,           0.0054374,           0.0054374
                  36,             0.04516,           0.0031553,                   0,             0.75695,             0.59366,             0.68132,             0.37958,            0.021278,           0.0024163,                   0,           0.0053763,           0.0053763,           0.0053763
                  37,            0.044233,           0.0031789,                   0,             0.72542,              0.6217,             0.68986,             0.38541,            0.020905,           0.0024136,                   0,           0.0053139,           0.0053139,           0.0053139
                  38,             0.04358,           0.0031186,                   0,             0.73727,             0.63783,             0.70079,              0.3949,            0.020558,           0.0024126,                   0,           0.0052503,           0.0052503,           0.0052503
                  39,            0.043914,           0.0031288,                   0,              0.6809,             0.69355,             0.69726,             0.39738,            0.020418,           0.0024172,                   0,           0.0051855,           0.0051855,           0.0051855
                  40,            0.043624,           0.0030718,                   0,             0.69335,             0.67302,             0.69532,             0.39802,            0.020439,           0.0024125,                   0,           0.0051197,           0.0051197,           0.0051197
                  41,            0.044244,           0.0030231,                   0,             0.73086,             0.64956,             0.69905,             0.40172,            0.020462,           0.0024003,                   0,           0.0050528,           0.0050528,           0.0050528
                  42,            0.043264,           0.0030661,                   0,             0.71509,             0.65689,             0.69932,             0.40253,            0.020465,           0.0024143,                   0,           0.0049848,           0.0049848,           0.0049848
                  43,            0.042314,           0.0030299,                   0,             0.66933,             0.69062,             0.69705,              0.4062,            0.020279,           0.0024176,                   0,           0.0049159,           0.0049159,           0.0049159
                  44,              0.0427,           0.0030628,                   0,             0.78405,             0.60688,             0.70029,             0.40722,            0.020199,           0.0024062,                   0,           0.0048461,           0.0048461,           0.0048461
                  45,            0.043853,           0.0030603,                   0,             0.78918,             0.60379,             0.69637,             0.40862,            0.020086,           0.0024108,                   0,           0.0047754,           0.0047754,           0.0047754
                  46,            0.042065,           0.0029443,                   0,             0.79421,              0.6055,             0.69863,             0.40782,            0.019977,           0.0024072,                   0,           0.0047038,           0.0047038,           0.0047038
                  47,            0.042724,           0.0029699,                   0,             0.81457,             0.59531,             0.70153,               0.413,            0.019933,           0.0024019,                   0,           0.0046315,           0.0046315,           0.0046315
                  48,            0.042093,           0.0028986,                   0,             0.79117,              0.6055,             0.69931,             0.41465,            0.019893,           0.0023975,                   0,           0.0045584,           0.0045584,           0.0045584
                  49,            0.042062,           0.0030436,                   0,              0.8228,             0.59232,             0.70257,             0.41507,            0.019866,           0.0023934,                   0,           0.0044847,           0.0044847,           0.0044847
                  50,            0.041437,           0.0029778,                   0,             0.78931,             0.61584,             0.70474,             0.41363,            0.019832,           0.0023872,                   0,           0.0044103,           0.0044103,           0.0044103
                  51,            0.040793,           0.0030309,                   0,             0.80082,             0.60997,             0.70155,             0.41355,            0.019817,           0.0023825,                   0,           0.0043354,           0.0043354,           0.0043354
                  52,            0.042178,           0.0029947,                   0,             0.80664,             0.60997,             0.70225,             0.41437,            0.019792,           0.0023756,                   0,           0.0042599,           0.0042599,           0.0042599
                  53,            0.041265,           0.0029796,                   0,             0.79807,             0.61426,             0.70468,             0.41598,            0.019777,           0.0023671,                   0,            0.004184,            0.004184,            0.004184
                  54,            0.040835,           0.0029658,                   0,             0.80459,             0.60975,             0.70755,             0.41733,            0.019756,            0.002368,                   0,           0.0041076,           0.0041076,           0.0041076
                  55,            0.040704,           0.0031486,                   0,             0.74205,             0.65103,             0.70432,             0.41731,            0.019772,           0.0023783,                   0,           0.0040309,           0.0040309,           0.0040309
                  56,            0.040837,            0.002931,                   0,             0.73876,               0.651,              0.7043,             0.41644,            0.019777,           0.0023864,                   0,           0.0039538,           0.0039538,           0.0039538
                  57,            0.039881,           0.0029296,                   0,             0.74085,              0.6437,             0.70092,             0.41595,            0.019762,           0.0023946,                   0,           0.0038765,           0.0038765,           0.0038765
                  58,            0.039906,           0.0028622,                   0,             0.74984,             0.63343,             0.70053,             0.41658,            0.019736,           0.0023967,                   0,           0.0037989,           0.0037989,           0.0037989
                  59,            0.039132,           0.0028253,                   0,              0.7435,             0.63343,             0.70124,             0.41719,            0.019711,           0.0023971,                   0,           0.0037212,           0.0037212,           0.0037212
                  60,            0.039052,           0.0028056,                   0,             0.80589,             0.59384,             0.70113,             0.41887,             0.01969,           0.0023946,                   0,           0.0036434,           0.0036434,           0.0036434
                  61,            0.038506,           0.0027913,                   0,             0.81107,             0.59531,             0.70199,             0.41939,            0.019662,           0.0023921,                   0,           0.0035655,           0.0035655,           0.0035655
                  62,            0.037827,           0.0027506,                   0,             0.81031,             0.59505,             0.70192,             0.41819,            0.019648,           0.0023888,                   0,           0.0034877,           0.0034877,           0.0034877
                  63,            0.037598,           0.0028045,                   0,             0.82547,             0.59091,             0.70411,             0.41864,            0.019614,           0.0023858,                   0,           0.0034099,           0.0034099,           0.0034099
                  64,            0.037444,           0.0027309,                   0,             0.82578,             0.59238,             0.70303,             0.41805,            0.019592,           0.0023837,                   0,           0.0033322,           0.0033322,           0.0033322
                  65,            0.037684,           0.0027408,                   0,             0.82606,             0.59238,             0.70437,                0.42,            0.019569,           0.0023781,                   0,           0.0032546,           0.0032546,           0.0032546
                  66,            0.036788,           0.0026793,                   0,             0.83057,             0.58941,              0.7055,             0.42166,             0.01954,           0.0023749,                   0,           0.0031773,           0.0031773,           0.0031773
                  67,            0.036483,           0.0026701,                   0,             0.81139,             0.59971,              0.7061,             0.42257,            0.019511,           0.0023718,                   0,           0.0031002,           0.0031002,           0.0031002
                  68,            0.036887,           0.0027246,                   0,             0.81611,             0.59971,              0.7078,             0.42512,            0.019482,            0.002371,                   0,           0.0030235,           0.0030235,           0.0030235
                  69,            0.037857,            0.002748,                   0,             0.81822,             0.59677,             0.70937,             0.42607,             0.01945,           0.0023688,                   0,           0.0029471,           0.0029471,           0.0029471
                  70,            0.036926,           0.0027204,                   0,             0.82443,             0.59212,             0.70948,             0.42708,            0.019425,           0.0023649,                   0,           0.0028712,           0.0028712,           0.0028712
                  71,            0.037373,           0.0026685,                   0,             0.83935,             0.58651,             0.70994,             0.42836,            0.019408,           0.0023615,                   0,           0.0027957,           0.0027957,           0.0027957
                  72,            0.036065,           0.0026272,                   0,             0.71289,              0.6699,             0.70991,             0.42909,            0.019391,           0.0023585,                   0,           0.0027208,           0.0027208,           0.0027208
                  73,            0.036564,           0.0026091,                   0,             0.83753,             0.59091,             0.70964,             0.43109,            0.019372,            0.002355,                   0,           0.0026464,           0.0026464,           0.0026464
                  74,            0.036509,           0.0026787,                   0,             0.83733,             0.59091,              0.7111,             0.43157,            0.019353,           0.0023505,                   0,           0.0025726,           0.0025726,           0.0025726
                  75,            0.036588,           0.0026041,                   0,             0.71383,             0.67297,             0.71213,             0.43285,            0.019334,           0.0023467,                   0,           0.0024996,           0.0024996,           0.0024996
                  76,            0.035275,           0.0025608,                   0,             0.82382,             0.59824,               0.713,             0.43234,            0.019312,           0.0023425,                   0,           0.0024273,           0.0024273,           0.0024273
                  77,            0.035789,           0.0027316,                   0,             0.74896,             0.64809,             0.71615,             0.43309,            0.019283,           0.0023364,                   0,           0.0023557,           0.0023557,           0.0023557
                  78,            0.035551,           0.0026722,                   0,             0.72056,               0.673,              0.7183,             0.43366,            0.019259,           0.0023325,                   0,            0.002285,            0.002285,            0.002285
                  79,            0.035127,             0.00267,                   0,             0.84299,             0.59091,             0.71823,             0.43497,            0.019237,           0.0023304,                   0,           0.0022152,           0.0022152,           0.0022152
                  80,            0.034725,           0.0024998,                   0,             0.71825,             0.68028,             0.72038,             0.43531,            0.019211,           0.0023305,                   0,           0.0021463,           0.0021463,           0.0021463
                  81,            0.035443,           0.0025239,                   0,             0.71743,             0.67889,             0.72076,             0.43581,             0.01919,           0.0023298,                   0,           0.0020783,           0.0020783,           0.0020783
                  82,            0.034887,           0.0025375,                   0,             0.78608,             0.62757,             0.72095,             0.43617,            0.019171,           0.0023282,                   0,           0.0020114,           0.0020114,           0.0020114
                  83,            0.034221,           0.0025198,                   0,             0.78486,             0.62586,             0.71959,             0.43719,            0.019153,           0.0023254,                   0,           0.0019455,           0.0019455,           0.0019455
                  84,            0.034239,           0.0024644,                   0,             0.78486,             0.62587,             0.71986,             0.43697,            0.019137,           0.0023251,                   0,           0.0018808,           0.0018808,           0.0018808
                  85,            0.034673,           0.0025188,                   0,             0.80277,             0.61584,             0.72021,             0.43732,             0.01912,           0.0023253,                   0,           0.0018172,           0.0018172,           0.0018172
                  86,            0.033434,           0.0024225,                   0,             0.79689,              0.6213,             0.72136,             0.43711,            0.019102,            0.002325,                   0,           0.0017548,           0.0017548,           0.0017548
                  87,            0.033659,           0.0024503,                   0,             0.76791,              0.6404,             0.71961,             0.43759,              0.0191,           0.0023247,                   0,           0.0016937,           0.0016937,           0.0016937
