   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.71816,             0.59971,             0.64417,             0.34254,            0.046933,           0.0030897,                   0,                0.01,                 0.1,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.72591,             0.54692,              0.6215,             0.34408,             0.03786,           0.0022026,                   0,             0.00897,              0.1258,               0.937,              0.0005,              2.9501,             0.86402,             0.10305,             0.04143,             0.56314,             0.92528,             0.73352,             0.90699,                 0.2,                   4,                   0,             0.01476,             0.75132,             0.35162,                   0,             0.08896,             0.45204,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.4818
              0.7651,             0.55425,             0.63329,             0.33837,            0.048876,           0.0030654,                   0,             0.01021,                 0.1,               0.937,             0.00051,              2.8108,             0.83187,             0.10224,                0.05,              0.4962,              1.0208,                   1,             0.99815,                 0.2,              4.1995,                   0,             0.01467,                 0.7,                 0.4,                   0,                 0.1,             0.50335,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.77686,             0.61144,             0.66839,              0.3317,            0.039419,           0.0022066,                   0,             0.00901,              0.1258,             0.89633,             0.00044,              2.8373,              0.8081,              0.1023,             0.04143,             0.53843,             0.99269,             0.76028,             0.91276,                 0.2,              4.2298,                   0,             0.01459,             0.75948,             0.30066,                   0,             0.10573,             0.53686,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.2386
             0.75041,             0.56745,             0.63651,             0.33562,              0.0467,           0.0032175,                   0,             0.01021,                 0.1,             0.94304,             0.00051,              2.8108,             0.83187,             0.10348,             0.04899,             0.50965,              1.0208,                   1,              0.9984,                 0.2,              4.2814,                   0,             0.01441,             0.71941,                 0.4,                   0,             0.09859,             0.50673,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.8388
             0.76233,             0.58788,             0.66676,             0.34983,            0.047009,           0.0037541,                   0,             0.00906,                 0.1,             0.92204,             0.00051,              2.3465,             0.88534,             0.10121,                0.05,              0.4962,             0.95216,              1.3222,             0.93735,                 0.2,              4.1995,                   0,             0.01467,             0.68096,             0.37461,                   0,             0.06891,             0.46377,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,               3.225
             0.71753,             0.59966,             0.64796,             0.31979,            0.054665,           0.0033874,                   0,             0.01191,             0.11333,               0.937,             0.00051,              2.8893,             0.88179,             0.10031,             0.05666,             0.55269,             0.99138,                   1,              1.0997,                 0.2,              4.1995,                   0,             0.01655,                 0.7,              0.4521,                   0,             0.11027,             0.54894,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
               0.782,             0.58909,             0.66767,             0.35872,            0.045927,           0.0034611,                   0,             0.00963,             0.10811,               0.937,             0.00061,              2.9425,             0.86821,             0.10224,             0.04919,             0.64853,              1.0191,              1.1154,             0.99815,                 0.2,              4.6507,                   0,             0.01311,             0.81916,             0.44001,                   0,              0.0885,             0.53876,                   0,                   0,                   0,                 0.5,              0.9683,                   0,                   0,              3.0504
             0.66498,             0.60557,             0.63352,             0.32298,             0.03851,           0.0022484,                   0,             0.00901,             0.12764,               0.937,             0.00051,              2.9501,             0.86097,             0.10305,             0.04174,             0.56314,             0.91985,             0.73485,             0.89732,                 0.2,              4.0234,                   0,             0.01463,             0.74847,             0.35745,                   0,               0.088,             0.45064,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.4442
             0.65992,             0.50293,              0.5419,             0.26325,             0.04024,           0.0019696,                   0,             0.00894,             0.08042,             0.95681,              0.0005,              2.9501,             0.59017,             0.10739,             0.04305,             0.51419,               0.719,             0.64973,             0.90699,                 0.2,               2.947,                   0,             0.01563,             0.75639,             0.40186,                   0,             0.11383,             0.45204,                   0,                   0,                   0,                 0.5,               0.927,                   0,                   0,              2.4819
