   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.77739,             0.55425,             0.65786,             0.35186,            0.048679,            0.003845,                   0,              0.0053,             0.10704,             0.86248,             0.00069,              3.7868,             0.86188,             0.11224,             0.05188,             0.67639,             0.99084,              1.2382,             0.98985,                 0.2,              4.4509,                   0,             0.01162,             0.89558,             0.45436,                   0,              0.0751,             0.54093,                   0,                   0,                   0,                 0.5,             0.91373,                   0,                   0,              2.1957
             0.77438,             0.56452,             0.65151,             0.33414,            0.054077,           0.0036684,                   0,              0.0095,             0.15035,             0.87125,              0.0007,              2.7865,             0.79823,             0.10823,             0.05589,              0.6338,              1.0387,              1.0511,              1.2007,                 0.2,              4.2465,                   0,             0.01235,             0.76137,             0.36338,                   0,             0.10028,             0.54333,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.8243
             0.79156,              0.5791,             0.67242,             0.35332,            0.040642,           0.0029523,                   0,             0.00662,             0.14367,             0.88348,             0.00065,              2.2673,             0.86338,              0.0947,             0.04188,             0.47336,             0.98174,              1.1873,             0.71186,                 0.2,              4.8523,                   0,             0.01329,             0.76137,             0.37877,                   0,             0.10082,             0.63779,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.3183
             0.71647,             0.61135,             0.65041,             0.31483,            0.043625,           0.0036463,                   0,             0.00921,             0.11668,             0.89394,             0.00059,                3.03,             0.77714,             0.10851,             0.04421,             0.61647,             0.74049,              1.1022,              1.0157,                 0.2,              4.7898,                   0,             0.01345,             0.73638,             0.42653,                   0,             0.09089,             0.59236,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
             0.79084,             0.54399,             0.65292,             0.34978,            0.049911,           0.0035866,                   0,             0.00975,             0.12442,             0.89997,             0.00068,              2.7865,             0.86276,             0.10823,              0.0534,             0.61647,             0.98174,              1.1316,              1.0623,                 0.2,              4.0725,                   0,             0.01329,             0.76137,             0.42295,                   0,             0.09163,             0.54885,                   0,                   0,                   0,                 0.5,             0.96301,                   0,                   0,              2.0766
             0.69241,             0.63044,             0.66372,             0.35432,            0.046579,           0.0033324,                   0,             0.00971,             0.12724,             0.89375,             0.00066,              2.9719,             0.90982,             0.10838,             0.05081,             0.59995,              0.8877,              1.0905,              1.0617,                 0.2,              3.7587,                   0,             0.01329,             0.76137,             0.42011,                   0,             0.09089,              0.6134,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.9365
             0.76495,             0.61556,              0.6756,             0.35267,            0.044686,           0.0030866,                   0,             0.00711,             0.12064,              0.9153,             0.00059,              2.8857,             0.84083,              0.1157,             0.04771,             0.62315,             0.84583,             0.95944,              1.1036,                 0.2,              4.2629,                   0,              0.0168,             0.78263,             0.46127,                   0,             0.09667,             0.40481,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.8598
             0.78081,             0.57454,             0.65055,             0.33341,            0.052921,           0.0033314,                   0,             0.00925,             0.10488,             0.92275,             0.00064,              2.6976,             0.83783,             0.09659,             0.05519,             0.60883,             0.99816,             0.97393,              1.1036,                 0.2,              4.3021,                   0,             0.01303,             0.88796,             0.38436,                   0,             0.09047,             0.42408,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.7626
             0.79847,             0.57185,             0.66224,             0.32837,            0.056898,           0.0034359,                   0,             0.00966,             0.11299,             0.90256,             0.00075,              3.2046,             0.85302,             0.11088,             0.05623,             0.60181,             0.94707,              1.1053,              1.0091,                 0.2,               4.523,                   0,             0.01512,             0.77087,             0.47053,                   0,             0.09136,             0.49259,                   0,                   0,                   0,                 0.5,             0.98676,                   0,                   0,              2.7792
             0.67601,             0.58435,             0.62894,             0.31743,             0.05437,            0.003743,                   0,             0.00944,             0.11121,             0.94233,             0.00067,              2.9122,             0.84083,              0.1024,             0.05553,             0.62877,             0.92642,              1.0858,              1.1036,                 0.2,              4.5571,                   0,              0.0135,             0.76366,              0.4203,                   0,             0.08817,              0.5222,                   0,                   0,                   0,                 0.5,             0.93263,                   0,                   0,                   2
