               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12084,           0.0076717,                   0,             0.32797,             0.20088,             0.14724,            0.046318,            0.083494,           0.0080053,                   0,           0.0016535,           0.0016535,            0.091267
                   1,            0.081331,           0.0079471,                   0,             0.41441,             0.39432,             0.33739,             0.14385,            0.072212,           0.0054182,                   0,           0.0033167,           0.0033167,            0.075627
                   2,            0.076352,           0.0066156,                   0,             0.59346,             0.41496,             0.44895,             0.18589,            0.067101,           0.0046725,                   0,           0.0049779,           0.0049779,            0.059985
                   3,            0.072236,            0.006324,                   0,             0.50919,             0.35191,             0.35894,             0.14411,            0.068945,           0.0048005,                   0,           0.0066356,           0.0066356,             0.04434
                   4,            0.071549,           0.0061552,                   0,             0.53825,             0.41362,             0.41522,             0.18768,            0.065317,           0.0047643,                   0,           0.0082882,           0.0082882,            0.028689
                   5,            0.069035,           0.0061569,                   0,              0.5643,             0.45455,             0.46539,             0.17208,            0.066652,           0.0049279,                   0,           0.0099343,           0.0099343,            0.013032
                   6,            0.068179,           0.0059155,                   0,             0.64854,             0.41496,              0.4658,             0.21109,            0.063199,           0.0041897,                   0,            0.010214,            0.010214,            0.010214
                   7,            0.065441,           0.0058362,                   0,             0.47979,             0.43988,             0.42074,             0.19236,            0.059015,           0.0045593,                   0,            0.010214,            0.010214,            0.010214
                   8,            0.062385,           0.0057592,                   0,             0.71625,             0.42669,             0.48867,             0.22307,            0.061645,           0.0051557,                   0,            0.010194,            0.010194,            0.010194
                   9,            0.062154,           0.0058244,                   0,             0.71743,             0.45161,             0.53476,             0.27954,            0.056363,           0.0042173,                   0,             0.01017,             0.01017,             0.01017
                  10,            0.061263,           0.0057172,                   0,             0.68334,             0.46628,             0.52101,             0.26273,            0.055929,           0.0043602,                   0,            0.010144,            0.010144,            0.010144
                  11,            0.059653,           0.0055662,                   0,             0.70233,             0.54661,             0.59651,             0.29529,             0.05641,           0.0040572,                   0,            0.010115,            0.010115,            0.010115
                  12,            0.058189,           0.0055985,                   0,             0.64885,             0.52933,             0.55933,             0.27427,            0.054384,           0.0040654,                   0,            0.010082,            0.010082,            0.010082
                  13,             0.05799,            0.005283,                   0,             0.71173,             0.47067,             0.55798,             0.29213,            0.053062,           0.0041945,                   0,            0.010047,            0.010047,            0.010047
                  14,            0.056183,           0.0055283,                   0,             0.70902,              0.5395,              0.5918,             0.29677,             0.05138,           0.0039607,                   0,            0.010009,            0.010009,            0.010009
                  15,             0.05579,           0.0055509,                   0,             0.69241,             0.53812,             0.60578,             0.32667,            0.049686,           0.0038523,                   0,           0.0099673,           0.0099673,           0.0099673
                  16,            0.055228,           0.0053502,                   0,             0.76274,             0.54207,              0.6252,             0.33812,            0.050195,           0.0037167,                   0,           0.0099231,           0.0099231,           0.0099231
                  17,            0.053581,           0.0053401,                   0,             0.70564,             0.55537,             0.62418,             0.34124,            0.048763,           0.0038359,                   0,            0.009876,            0.009876,            0.009876
                  18,            0.053424,           0.0053395,                   0,             0.70765,             0.54399,             0.61827,             0.34022,            0.049019,           0.0038451,                   0,            0.009826,            0.009826,            0.009826
                  19,            0.053445,           0.0054804,                   0,             0.74473,             0.57331,             0.64838,             0.35668,             0.04856,           0.0037788,                   0,           0.0097733,           0.0097733,           0.0097733
                  20,            0.052739,            0.005344,                   0,             0.72888,             0.58358,             0.63645,             0.35062,            0.048478,           0.0038322,                   0,           0.0097177,           0.0097177,           0.0097177
                  21,            0.052185,           0.0052867,                   0,               0.744,             0.56251,             0.64538,             0.36444,            0.048089,           0.0037644,                   0,           0.0096594,           0.0096594,           0.0096594
                  22,            0.051561,           0.0052806,                   0,             0.75012,             0.56452,             0.64431,             0.35919,             0.04807,           0.0036924,                   0,           0.0095984,           0.0095984,           0.0095984
                  23,            0.051706,           0.0052028,                   0,             0.71874,              0.5583,             0.63271,             0.34006,            0.047794,           0.0038537,                   0,           0.0095347,           0.0095347,           0.0095347
                  24,            0.050884,           0.0051702,                   0,             0.73161,             0.58354,             0.64941,             0.36752,            0.046855,           0.0037075,                   0,           0.0094685,           0.0094685,           0.0094685
                  25,            0.050894,           0.0051874,                   0,             0.74662,             0.57463,             0.65247,             0.37219,            0.047457,           0.0035584,                   0,           0.0093996,           0.0093996,           0.0093996
                  26,            0.050232,           0.0051212,                   0,             0.70988,             0.57762,             0.63745,             0.35738,            0.047025,            0.003691,                   0,           0.0093282,           0.0093282,           0.0093282
                  27,            0.049902,           0.0050853,                   0,             0.79674,             0.56012,             0.66137,             0.36748,            0.047064,           0.0037212,                   0,           0.0092543,           0.0092543,           0.0092543
