   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
              0.5464,             0.42721,             0.43763,             0.23159,            0.033385,           0.0027978,                   0,             0.00645,             0.09114,             0.81928,             0.00028,                   3,             0.80033,             0.09545,             0.05801,             0.49882,              1.0891,              1.1142,              1.1012,                 0.2,              4.4171,                   0,             0.01704,             0.70854,             0.40543,                   0,             0.05788,             0.37734,                   0,                   0,                   0,                 0.5,             0.94666,                   0,                   0,                   2
             0.66259,              0.4449,             0.47406,              0.2164,            0.018269,           0.0022802,                   0,             0.00884,             0.10437,             0.96385,             0.00051,              3.2716,               0.794,             0.10486,             0.03189,             0.54488,              1.0114,              1.1656,              1.0311,                 0.2,               3.286,                   0,             0.01648,             0.77311,             0.38929,                   0,             0.09879,             0.57012,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.3841
             0.54506,             0.43265,             0.43525,             0.20061,            0.019708,           0.0024419,                   0,             0.00951,             0.09028,             0.96138,             0.00048,              3.1976,             0.74846,             0.09518,             0.03353,             0.57532,              1.0358,              1.2685,              1.0054,                 0.2,              3.4633,                   0,             0.01295,             0.69929,             0.46447,                   0,             0.09326,             0.59903,                   0,                   0,                   0,                 0.5,             0.92103,                   0,                   0,              2.2965
             0.42903,             0.41769,             0.34193,             0.15876,            0.022232,           0.0027238,                   0,             0.00829,             0.08553,                0.98,             0.00049,              3.3542,             0.80015,             0.08599,             0.03805,             0.57676,             0.97359,              1.2734,              1.0236,                 0.2,              3.6156,                   0,             0.01587,             0.67809,             0.43093,                   0,             0.09448,             0.57601,                   0,                   0,                   0,                 0.5,             0.97573,                   0,                   0,              2.6057
             0.56177,             0.45306,             0.45833,              0.2251,            0.019011,           0.0024359,                   0,             0.00764,             0.07892,             0.93642,             0.00052,              3.0707,             0.80479,             0.09657,             0.03554,             0.36797,              1.1925,              1.1656,              1.1044,                 0.2,              3.3601,                   0,             0.01442,             0.74627,             0.51623,                   0,             0.09318,             0.61662,                   0,                   0,                   0,                 0.5,             0.86215,                   0,                   0,              2.6057
             0.67381,             0.42157,             0.47827,             0.24235,            0.014075,           0.0016765,                   0,              0.0091,             0.09086,             0.93226,              0.0007,              3.9645,             0.91112,             0.11404,             0.02668,             0.62826,             0.95916,              0.9059,              1.0981,                 0.2,              2.7391,                   0,              0.0167,             0.77311,             0.49641,                   0,             0.09919,             0.57012,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
             0.65236,             0.49524,             0.50153,             0.23521,               0.019,           0.0022754,                   0,             0.00777,             0.08283,             0.93014,             0.00052,              3.1036,             0.74091,             0.09995,             0.03554,             0.37657,              1.2051,              1.1408,              1.1697,                 0.2,              3.3601,                   0,             0.01595,             0.69427,             0.53525,                   0,             0.09423,             0.64099,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.1329
             0.72878,             0.41676,             0.49792,             0.25772,            0.018052,            0.002224,                   0,             0.00739,             0.09212,              0.9022,             0.00052,              3.3748,             0.92324,             0.10536,             0.03554,             0.28465,              1.3473,              1.1656,             0.99909,                 0.2,              3.4289,                   0,             0.01607,             0.67998,             0.56391,                   0,             0.09641,             0.53693,                   0,                   0,                   0,                 0.5,             0.94567,                   0,                   0,               2.657
             0.55887,             0.43537,             0.45067,             0.23696,            0.033017,           0.0028195,                   0,              0.0062,             0.09127,             0.82637,             0.00028,              3.0684,             0.85956,             0.10145,             0.05801,             0.51174,              1.0389,               1.097,              1.1506,                 0.2,              4.4171,                   0,             0.01676,             0.71507,             0.38533,                   0,             0.05929,             0.35911,                   0,                   0,                   0,                 0.5,             0.93653,                   0,                   0,                   2
             0.62605,              0.4585,             0.49049,             0.25383,            0.028438,           0.0025499,                   0,              0.0062,             0.07178,             0.82637,             0.00027,              3.0684,             0.79951,             0.11811,             0.05059,             0.61886,              1.0675,               1.097,              1.1506,                 0.2,              4.9979,                   0,             0.01603,             0.73113,               0.394,                   0,             0.05202,             0.42216,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
              0.5283,             0.46531,              0.4563,             0.23579,            0.019848,           0.0023012,                   0,             0.00765,             0.08045,             0.95106,             0.00052,              3.2031,              0.6916,              0.0982,             0.03678,             0.37657,              1.2051,              1.1408,              1.1246,                 0.2,              3.4026,                   0,             0.01608,             0.69427,             0.59819,                   0,             0.10542,             0.64099,                   0,                   0,                   0,                 0.5,             0.96332,                   0,                   0,              3.1329
             0.52811,              0.4898,             0.44786,             0.20835,            0.024088,           0.0028557,                   0,             0.00713,             0.08589,             0.93014,             0.00056,              3.1036,             0.70333,             0.08895,             0.04312,             0.26195,             0.82901,              1.1408,               1.268,                 0.2,              3.7657,                   0,             0.01499,             0.59984,             0.46877,                   0,             0.10452,             0.82909,                   0,                   0,                   0,                 0.5,             0.89857,                   0,                   0,              3.1689
             0.76126,             0.47891,              0.5531,             0.28936,            0.018145,           0.0026109,                   0,             0.00777,              0.0839,             0.88172,             0.00064,              3.1036,             0.61751,             0.09995,             0.03565,             0.39879,             0.93466,                1.37,              1.2989,                 0.2,              2.8232,                   0,              0.0204,             0.69427,             0.51837,                   0,             0.09223,             0.69156,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
             0.71691,             0.46513,             0.52247,             0.27692,            0.027099,            0.002629,                   0,             0.00638,             0.07382,             0.85331,             0.00027,              2.7568,             0.75082,             0.12842,             0.04904,             0.63049,              1.0675,              1.1151,              1.1767,                 0.2,              4.9979,                   0,             0.01603,             0.74575,             0.38027,                   0,             0.05429,              0.4122,                   0,                   0,                   0,                 0.5,             0.95719,                   0,                   0,                   2
             0.67152,             0.51837,              0.5507,              0.2806,            0.021094,            0.002257,                   0,             0.00673,             0.07178,             0.76756,             0.00031,              3.0684,             0.79951,              0.1083,             0.03656,             0.44617,              1.0675,               1.097,              1.1176,                 0.2,              6.0524,                   0,             0.01671,              0.5132,             0.26087,                   0,             0.04091,             0.42216,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
             0.69244,             0.43946,             0.49345,             0.25568,            0.027948,           0.0025642,                   0,             0.00646,             0.07382,             0.86657,             0.00027,              2.7568,             0.75082,             0.12596,             0.04904,             0.63049,              1.0997,              1.1087,              1.1702,                 0.2,               5.159,                   0,             0.01633,             0.73078,             0.37856,                   0,              0.0519,             0.41584,                   0,                   0,                   0,                 0.5,             0.95719,                   0,                   0,                   2
              0.6099,             0.53604,             0.54659,             0.27684,            0.021018,            0.002323,                   0,               0.006,             0.09036,             0.81591,             0.00021,               2.856,             0.85483,             0.12923,             0.03725,             0.63049,              1.1425,              1.0591,              1.1644,                 0.2,               5.075,                   0,             0.01603,             0.85244,             0.38027,                   0,             0.05692,             0.45344,                   0,                   0,                   0,                 0.5,             0.75603,                   0,                   0,                   2
             0.61757,             0.50068,             0.51989,             0.26277,            0.029047,           0.0025622,                   0,             0.00653,             0.07643,             0.84906,             0.00027,              2.7733,             0.77951,              0.1306,             0.05101,             0.62381,              1.1132,              1.1096,              1.1474,                 0.2,              4.8717,                   0,             0.01539,             0.76553,             0.37791,                   0,             0.05379,              0.4122,                   0,                   0,                   0,                 0.5,             0.97868,                   0,                   0,                   2
