               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12008,            0.012913,                   0,          4.4863e-05,            0.013459,          2.3108e-05,          5.5317e-06,             0.10811,            0.010096,                   0,             0.00046,             0.00046,             0.09586
                   1,             0.11424,            0.010643,                   0,          0.00020232,            0.033647,          7.6361e-05,          1.1315e-05,             0.10629,           0.0086866,                   0,          0.00092917,          0.00092917,            0.091629
                   2,             0.11499,            0.009106,                   0,          0.00027801,           0.0053836,          0.00011135,          2.3037e-05,             0.10602,           0.0077221,                   0,            0.001395,            0.001395,            0.087395
                   3,             0.11342,           0.0087473,                   0,          0.00018887,            0.014805,           6.493e-05,           1.175e-05,             0.10928,           0.0067723,                   0,           0.0018551,           0.0018551,            0.083155
                   4,             0.11164,            0.008501,                   0,          0.00016127,            0.020188,          6.7458e-05,           1.183e-05,             0.10669,           0.0065646,                   0,           0.0023069,           0.0023069,            0.078907
                   5,             0.10969,           0.0080679,                   0,          0.00038268,           0.0067295,          9.6582e-05,          1.6353e-05,             0.11738,           0.0047095,                   0,           0.0027481,           0.0027481,            0.074648
                   6,              0.1093,           0.0082126,                   0,          0.00019517,            0.021534,          7.4108e-05,          1.3418e-05,             0.10706,           0.0059363,                   0,           0.0031764,           0.0031764,            0.070376
                   7,             0.10812,           0.0081174,                   0,          0.00019151,            0.056528,          0.00010253,          2.4667e-05,            0.099455,            0.006598,                   0,           0.0035894,           0.0035894,            0.066089
                   8,             0.10518,           0.0085976,                   0,          0.00020028,            0.044415,          8.4722e-05,          1.5676e-05,            0.099321,           0.0066847,                   0,           0.0039851,           0.0039851,            0.061785
                   9,             0.10416,           0.0089291,                   0,          0.00045976,            0.051144,          0.00013269,          3.1061e-05,            0.092032,           0.0072894,                   0,           0.0043615,           0.0043615,            0.057461
                  10,            0.097333,           0.0096115,                   0,          0.00095562,            0.036339,           0.0002983,           6.382e-05,            0.086444,           0.0079517,                   0,           0.0047165,           0.0047165,            0.053117
                  11,            0.094027,            0.010081,                   0,           0.0046077,            0.076716,           0.0011219,          0.00026522,            0.084101,           0.0082308,                   0,           0.0050486,           0.0050486,            0.048749
