               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098906,           0.0060695,                   0,             0.11707,              0.1034,            0.036353,             0.01068,            0.040215,           0.0053733,                   0,           0.0028041,           0.0028041,            0.072175
                   1,            0.076466,           0.0057658,                   0,            0.049617,             0.04898,           0.0054147,           0.0017558,            0.050466,           0.0037513,                   0,           0.0056117,           0.0056117,            0.022834
                   2,            0.077736,           0.0051321,                   0,             0.11829,             0.18095,            0.050062,            0.017012,            0.038985,           0.0040119,                   0,           0.0065359,           0.0065359,           0.0065359
                   3,            0.072433,            0.004672,                   0,             0.13787,             0.15238,            0.062228,            0.018135,            0.039638,           0.0039935,                   0,           0.0065359,           0.0065359,           0.0065359
                   4,             0.06799,           0.0044146,                   0,             0.33685,             0.24189,             0.19037,            0.079509,            0.035149,           0.0039689,                   0,           0.0065308,           0.0065308,           0.0065308
                   5,             0.06636,           0.0039954,                   0,             0.38208,             0.32789,             0.28467,             0.12264,            0.032228,           0.0034235,                   0,           0.0065237,           0.0065237,           0.0065237
                   6,            0.063259,           0.0038797,                   0,               0.345,             0.32517,             0.25682,            0.098231,             0.03149,           0.0032661,                   0,           0.0065146,           0.0065146,           0.0065146
                   7,            0.061357,            0.003801,                   0,             0.47489,             0.32361,             0.31831,             0.15037,            0.031322,           0.0033765,                   0,           0.0065034,           0.0065034,           0.0065034
                   8,             0.06112,           0.0037823,                   0,             0.59173,             0.39864,              0.3939,             0.18733,            0.030556,           0.0031062,                   0,           0.0064902,           0.0064902,           0.0064902
                   9,            0.058938,            0.003697,                   0,             0.39358,              0.4585,             0.35119,             0.18562,            0.028197,           0.0032516,                   0,            0.006475,            0.006475,            0.006475
                  10,            0.059248,           0.0036796,                   0,             0.56391,             0.38353,             0.38888,             0.16585,            0.030412,           0.0028708,                   0,           0.0064578,           0.0064578,           0.0064578
                  11,            0.057709,           0.0036784,                   0,             0.46961,             0.35238,             0.31718,             0.14893,            0.032803,            0.003518,                   0,           0.0064386,           0.0064386,           0.0064386
                  12,            0.057035,           0.0036366,                   0,             0.63676,              0.4517,             0.47652,             0.23358,            0.027968,           0.0032441,                   0,           0.0064175,           0.0064175,           0.0064175
                  13,            0.056435,           0.0035137,                   0,             0.63007,             0.40952,             0.42208,             0.20019,            0.028708,           0.0031577,                   0,           0.0063944,           0.0063944,           0.0063944
                  14,            0.058284,           0.0036801,                   0,             0.52965,             0.42721,             0.39197,             0.18348,            0.029119,           0.0035496,                   0,           0.0063694,           0.0063694,           0.0063694
                  15,            0.056556,           0.0036722,                   0,             0.60544,             0.47211,             0.48883,             0.23517,            0.026874,           0.0027828,                   0,           0.0063424,           0.0063424,           0.0063424
                  16,            0.054734,           0.0034886,                   0,             0.66388,              0.4898,             0.50421,             0.26075,            0.026888,           0.0028003,                   0,           0.0063136,           0.0063136,           0.0063136
                  17,            0.054115,           0.0035271,                   0,             0.63281,             0.45986,             0.48545,             0.24896,            0.027153,           0.0028713,                   0,           0.0062828,           0.0062828,           0.0062828
                  18,            0.053916,           0.0034246,                   0,             0.69381,             0.45937,             0.52183,             0.27041,            0.026246,           0.0027455,                   0,           0.0062502,           0.0062502,           0.0062502
                  19,            0.054704,           0.0034716,                   0,             0.70912,             0.50476,             0.54073,             0.27274,            0.025921,           0.0026084,                   0,           0.0062158,           0.0062158,           0.0062158
